Serial No.,Average Daily Study Hours,English Self-Confidence Scale,University Rating,SOP,LOR ,Research,Chance of Admit 
1,7.1,9,4,4.5,4.5,1,0.92
2,3.9,5,4,4,4.5,1,0.76
3,1.7,4,3,3,3.5,1,0.72
4,4,7,3,3.5,2.5,1,0.8
5,2.2,4,2,2,3,0,0.65
6,5.3,7,5,4.5,3,1,0.9
7,3.2,7,3,3,4,1,0.75
8,0.9,3,2,3,4,0,0.68
9,0.9,3,1,2,1.5,0,0.5
10,3.9,6,3,3.5,3,0,0.45
11,2.5,5,3,3.5,4,1,0.52
12,4.7,7,4,4,4.5,1,0.84
13,4.2,6,4,4,4.5,1,0.78
14,1.9,4,3,4,3,1,0.62
15,1.4,4,3,3.5,2,1,0.61
16,2,4,3,3.5,2.5,0,0.54
17,2.8,4,3,4,3,0,0.66
18,1.6,5,3,4,3,1,0.65
19,3.3,5,3,4,3,0,0.63
20,2.8,4,3,3.5,3,0,0.62
21,2.1,6,3,3,2,1,0.64
22,2.4,7,4,3,2,0,0.7
23,5.8,8,5,5,5,1,0.94
24,6.3,9,5,5,4.5,1,0.95
25,6.1,8,5,4,3.5,1,0.97
26,6.5,9,5,4.5,4.5,1,0.94
27,3,5,5,4.5,3.5,0,0.76
28,0.3,3,2,1.5,2.5,1,0.44
29,0.7,1,1,2,2,0,0.46
30,0.8,2,2,1.5,2,0,0.54
31,1.6,2,2,3,3,1,0.65
32,2.9,4,3,4,4,1,0.74
33,6.1,9,4,3,4.5,1,0.91
34,5.8,7,5,4,4,1,0.9
35,7.1,7,5,4,5,1,0.94
36,5.1,6,5,5,5,1,0.88
37,2.9,5,2,4,4,0,0.64
38,1.2,3,1,1,2,0,0.58
39,0.6,4,1,3,1.5,0,0.52
40,0.5,5,2,4,3.5,0,0.48
41,1.5,6,3,3.5,3,1,0.46
42,1.9,4,2,2.5,2.5,1,0.49
43,2.8,5,2,2.5,2,1,0.53
44,4.1,8,4,4.5,4,0,0.87
45,5.2,6,5,4.5,4,1,0.91
46,4.6,6,5,5,4,1,0.88
47,5.2,7,5,4,5,1,0.86
48,7.1,9,5,4.5,4,0,0.89
49,4.4,6,3,3.5,5,1,0.82
50,2.1,6,4,3,4,1,0.78
51,2.5,2,3,2.5,4.5,1,0.76
52,0.7,2,2,1.5,3.5,1,0.56
53,0.9,8,4,4,3,1,0.78
54,1.9,7,4,4,2.5,1,0.72
55,1.5,6,3,3,3.5,0,0.7
56,0.3,4,3,3,3,0,0.64
57,0.8,3,3,2,3,0,0.64
58,0,3,2,4,2,0,0.46
59,0,3,1,3,2,1,0.36
60,2.5,4,2,2,2,0,0.42
61,1.4,3,2,3,3,0,0.48
62,1.9,3,3,4,3,0,0.47
63,1,3,2,3,3,1,0.54
64,2.5,5,2,4,3,1,0.56
65,4,7,3,3,3.5,0,0.52
66,4.5,7,4,3.5,3.5,0,0.55
67,4.6,7,3,3,3,0,0.61
68,4.2,6,2,3.5,3.5,1,0.57
69,5.3,6,3,3.5,4,1,0.68
70,4.3,7,4,4.5,4,1,0.78
71,6.1,8,5,5,5,1,0.94
72,7.2,7,5,5,5,1,0.96
73,5.7,6,5,5,5,1,0.93
74,5.1,6,4,4.5,4,1,0.84
75,2.9,4,3,3,5,0,0.74
76,3.3,7,2,2,4,1,0.72
77,3.1,6,3,3,3,1,0.74
78,2.4,3,2,3,2,0,0.64
79,1.5,1,2,3,2,1,0.44
80,0.4,0,1,1.5,2,0,0.46
81,1.9,5,3,2,3,1,0.5
82,6.4,9,4,5,5,1,0.96
83,5.4,6,5,5,4.5,1,0.92
84,5.4,8,5,4,4.5,1,0.92
85,5.3,7,5,4.5,4.5,1,0.94
86,3,4,4,4.5,3.5,0,0.76
87,3.2,5,3,4.5,3.5,0,0.72
88,1.9,5,2,3.5,3,0,0.66
89,0.9,5,3,4.5,3.5,0,0.64
90,3.8,6,4,4.5,3.5,1,0.74
91,0.6,4,2,4,4,1,0.64
92,0.7,2,3,5,3.5,0,0.38
93,1.2,2,2,4,3,0,0.34
94,1.2,2,2,3,3,1,0.44
95,0.5,3,3,2,2.5,0,0.36
96,0.1,2,4,1.5,2.5,0,0.42
97,1.7,3,2,3,3,0,0.48
98,4.6,9,3,4,4,1,0.86
99,5.1,9,4,5,4.5,1,0.9
100,3.9,7,3,4,4,1,0.79
101,1.6,4,3,3.5,3.5,1,0.71
102,1.2,4,2,2.5,3,0,0.64
103,2.6,5,2,4,3.5,0,0.62
104,2.5,4,2,4.5,4,0,0.57
105,4.5,6,3,3.5,3,1,0.74
106,4,6,3,4,4.5,1,0.69
107,5.2,6,4,4.5,4.5,1,0.87
108,6.4,9,4,3.5,4.5,1,0.91
109,5.2,8,5,5,5,1,0.93
110,2.9,3,5,5,4,0,0.68
111,2.4,5,5,3,3,0,0.61
112,3.6,6,4,4,4,1,0.69
113,2.7,5,3,3.5,3.5,1,0.62
114,3.6,7,2,4,3.5,0,0.72
115,3.1,5,3,3.5,3,1,0.59
116,4.8,5,4,4.5,4.5,1,0.66
117,3.9,4,3,4,3.5,0,0.56
118,1.3,4,4,2,2.5,0,0.45
119,1.5,3,2,3,3.5,0,0.47
120,4.5,5,5,3,3.5,1,0.71
121,6.4,8,5,5,5,1,0.94
122,5.3,8,5,4.5,4.5,1,0.94
123,3.3,5,4,1.5,2.5,0,0.57
124,1.3,5,3,3.5,3.5,0,0.61
125,4.1,6,4,2.5,3,0,0.57
126,4.1,4,3,2,3,1,0.64
127,4.9,7,3,4,3,1,0.85
128,3.7,7,3,2.5,2,1,0.78
129,4.7,7,3,3.5,3,1,0.84
130,5.6,8,5,5,5,1,0.92
131,6.3,7,5,4,4.5,1,0.96
132,3.3,5,5,5,4.5,0,0.77
133,2.9,5,5,3.5,3.5,0,0.71
134,4.1,7,5,4,4.5,0,0.79
135,4.3,6,5,4,4,1,0.89
136,4.2,6,4,3.5,4,1,0.82
137,2.7,4,3,5,4,0,0.76
138,1.2,3,2,1.5,3,1,0.71
139,4.6,8,2,4.5,3,1,0.8
140,3.9,5,1,3.5,3.5,0,0.78
141,4.6,6,2,4,3,1,0.84
142,6.4,9,2,4.5,3.5,1,0.9
143,4.4,6,5,4,3.5,1,0.92
144,7.1,9,4,4.5,4,1,0.97
145,4.6,7,2,3,3.5,1,0.8
146,3.7,7,2,2,2.5,1,0.81
147,2,4,3,2,2.5,0,0.75
148,4.1,7,3,3,3,1,0.83
149,7,8,4,4,3.5,1,0.96
150,2.2,5,2,3.5,3,1,0.79
151,6.5,8,4,4,4,1,0.93
152,5.6,8,5,5,5,1,0.94
153,4,6,5,5,5,1,0.86
154,3.4,4,3,3,4,0,0.79
155,4.1,6,3,3,3.5,0,0.8
156,3.4,6,3,3,3,0,0.77
157,3.4,5,3,2,2.5,0,0.7
158,2.7,5,2,2,2.5,0,0.65
159,1.6,4,2,2,2.5,0,0.61
160,1.5,3,1,1.5,2,0,0.52
161,0.6,4,1,1.5,2,0,0.57
162,1.9,3,1,1.5,3,0,0.53
163,3.1,6,3,3,3,0,0.67
164,2.4,4,3,3.5,3,0,0.68
165,5.2,7,4,4.5,4,1,0.81
166,4.4,6,5,4.5,4,0,0.78
167,2.9,4,3,3.5,5,0,0.65
